21.6452,0,0.696066,0.433249,0.0988242,-5.17942e-09,-4.07019e-08,1.31162e-07
21.6452,1,0.180825,0.150618,0.259178,2.18192e-07,3.0691e-08,5.31066e-08
21.6452,2,0.620909,0.175191,0.271555,-1.30591e-08,1.07989e-07,7.46635e-08
21.6452,3,0.761255,0.946506,0.0187299,-6.60151e-09,-5.5483e-08,3.99358e-08
21.6452,4,0.53194,0.406806,0.607912,1.04441e-07,1.02407e-08,-3.59343e-08
21.6452,5,0.659345,0.36206,0.30577,1.1472e-07,-1.76599e-07,1.22004e-07
21.6452,6,0.907128,0.256587,0.231515,-1.26886e-07,4.65424e-08,6.12461e-08
21.6452,7,0.943247,0.477546,0.631773,-1.23102e-07,-4.62747e-08,-1.82329e-08
21.6452,8,0.849676,0.311328,0.605659,-1.55937e-07,4.99037e-08,-1.63234e-08
21.6452,9,0.458004,0.639784,0.800121,3.33557e-07,-5.74072e-08,-2.8793e-07
21.6452,10,0.149444,0.230676,0.608453,8.26294e-08,1.23247e-08,-2.88424e-08
21.6452,11,0.502368,0.719858,0.61555,2.88327e-08,-1.49531e-07,5.09401e-08
21.6452,12,0.896776,0.616711,0.151921,-3.87609e-08,-2.04775e-08,1.62918e-07
21.6452,13,0.903585,0.471378,0.957203,-5.35127e-08,1.88308e-08,-9.85977e-08
21.6452,14,0.510903,0.640485,0.758042,-1.63007e-07,-7.85837e-08,1.02208e-07
21.6452,15,0.666186,0.0727579,0.0530809,-2.67683e-08,7.2542e-08,1.05235e-07
21.6452,16,0.969691,0.666196,0.859675,-7.7135e-08,-6.84686e-08,-4.61623e-08
21.6452,17,0.577135,0.121505,0.750906,1.50808e-08,9.35948e-08,-9.6653e-08
21.6452,18,0.40892,0.5931,0.451866,8.27232e-08,-7.10067e-08,5.2716e-08
21.6452,19,0.408136,0.0222273,0.399743,6.19482e-08,1.29456e-07,-3.16566e-08
21.6452,20,0.528463,0.013318,0.4585,-6.93357e-08,1.28028e-07,-6.27948e-08
21.6452,21,0.0479295,0.210908,0.844187,6.25243e-08,1.66758e-08,-5.72929e-08
21.6452,22,0.662077,0.650652,0.857754,-6.05797e-08,-8.28421e-08,-1.2376e-07
21.6452,23,0.0196892,0.990475,0.137572,2.87469e-08,-3.0056e-08,1.67024e-08
21.6452,24,0.725973,0.273491,0.660684,-2.22145e-08,9.47792e-08,-1.06802e-07
